datetime,lat,lon,alt,relative_alt,ground_speed,heading
2023-07-09 22:05:12,-35.3632621,149.1652374,584.09,-0.014,0.01414213562373095,355.42
2023-07-09 22:05:13,-35.3632621,149.1652374,584.09,-0.014,0.022360679774997897,355.4
2023-07-09 22:05:13,-35.3632621,149.1652374,584.09,-0.014,0.022360679774997897,355.38
2023-07-09 22:05:13,-35.3632621,149.1652374,584.09,-0.014,0.022360679774997897,355.36
2023-07-09 22:05:13,-35.3632621,149.1652374,584.09,-0.014,0.022360679774997897,355.34
2023-07-09 22:05:14,-35.3632621,149.1652374,584.09,-0.015,0.022360679774997897,355.32
2023-07-09 22:05:14,-35.3632621,149.1652374,584.09,-0.015,0.022360679774997897,355.3
2023-07-09 22:05:14,-35.3632621,149.1652374,584.09,-0.015,0.022360679774997897,355.28
2023-07-09 22:05:14,-35.3632621,149.1652374,584.09,-0.015,0.022360679774997897,355.27
2023-07-09 22:05:15,-35.3632621,149.1652374,584.09,-0.015,0.022360679774997897,355.25
2023-07-09 22:05:15,-35.3632621,149.1652374,584.09,-0.015,0.022360679774997897,355.23
2023-07-09 22:05:15,-35.3632621,149.1652374,584.09,-0.015,0.022360679774997897,355.21
2023-07-09 22:05:15,-35.3632621,149.1652374,584.09,-0.015,0.022360679774997897,355.2
2023-07-09 22:05:16,-35.3632621,149.1652374,584.09,-0.015,0.022360679774997897,355.18
2023-07-09 22:05:16,-35.3632621,149.1652374,584.09,-0.016,0.0282842712474619,355.16
2023-07-09 22:05:16,-35.3632621,149.1652374,584.09,-0.016,0.0282842712474619,355.14
2023-07-09 22:05:16,-35.3632621,149.1652374,584.09,-0.016,0.0282842712474619,355.13
2023-07-09 22:05:17,-35.3632621,149.1652374,584.09,-0.016,0.0282842712474619,355.11
2023-07-09 22:05:17,-35.3632621,149.1652374,584.09,-0.016,0.0282842712474619,355.1
2023-07-09 22:05:17,-35.3632621,149.1652374,584.09,-0.016,0.0282842712474619,355.08
2023-07-09 22:05:17,-35.3632621,149.1652374,584.09,-0.016,0.0282842712474619,355.07
2023-07-09 22:05:18,-35.3632621,149.1652374,584.09,-0.016,0.0282842712474619,355.05
2023-07-09 22:05:18,-35.3632621,149.1652374,584.09,-0.016,0.0282842712474619,355.03
2023-07-09 22:05:18,-35.3632621,149.1652374,584.09,-0.016,0.0282842712474619,355.02
2023-07-09 22:05:18,-35.3632621,149.1652374,584.09,-0.017,0.0282842712474619,355.0
2023-07-09 22:05:19,-35.3632621,149.1652374,584.09,-0.017,0.0282842712474619,354.99
