datetime,roll,pitch,yaw,roll_deg,pitch_deg,yaw_deg,rollspeed,pitchspeed,yawspeed
2023-07-09 22:04:57,0.00033984106266871095,0.00012999049795325845,-0.06430140882730484,0.02,0.01,-3.68,0.0001595317735336721,8.287197124445811e-05,0.023995237424969673
2023-07-09 22:04:58,0.00035024897078983486,0.00013853820564690977,-0.06340938061475754,0.02,0.01,-3.63,0.000174337241332978,6.560523615917191e-05,0.023209035396575928
2023-07-09 22:04:58,0.00036493997322395444,0.00014802839723415673,-0.06257162988185883,0.02,0.01,-3.59,0.0001683096052147448,0.00011624655599007383,0.02276737615466118
2023-07-09 22:04:58,0.000375996227376163,0.00015720949159003794,-0.06197991222143173,0.02,0.01,-3.55,0.00015532562974840403,4.3756183004006743e-05,0.021941781044006348
2023-07-09 22:04:58,0.00038534370833076537,0.00016579966177232563,-0.06141332909464836,0.02,0.01,-3.52,0.00017281077452935278,0.00012055956176482141,0.021419115364551544
2023-07-09 22:04:59,0.0003962780465371907,0.0001752746757119894,-0.06108394265174866,0.02,0.01,-3.5,0.00017837368068285286,0.00011133336374768987,0.020655540749430656
2023-07-09 22:04:59,0.00040989433182403445,0.0001859553885878995,-0.0607433021068573,0.02,0.01,-3.48,0.00020961252448614687,0.00018437104881741107,0.02013368159532547
2023-07-09 22:04:59,0.00042511700303293765,0.00019464376964606345,-0.06064125522971153,0.02,0.01,-3.47,0.00016100125503726304,0.00012809652253054082,0.01939159445464611
2023-07-09 22:04:59,0.0004324601322878152,0.0002057146339211613,-0.06048933416604996,0.02,0.01,-3.47,0.00017464916163589805,9.861914440989494e-05,0.01899532601237297
2023-07-09 22:05:00,0.00044239574344828725,0.00020746789232362062,-0.06053822860121727,0.03,0.01,-3.47,0.0001388563250657171,0.00016703880100976676,0.018368901684880257
2023-07-09 22:05:00,0.00044950112351216376,0.0002180129085900262,-0.060539085417985916,0.03,0.01,-3.47,0.00015076104318723083,0.0001439773477613926,0.017969729378819466
2023-07-09 22:05:00,0.0004603072884492576,0.00022857719159219414,-0.060691796243190765,0.03,0.01,-3.48,0.00016656523803249002,0.00015088988584466279,0.01731955073773861
2023-07-09 22:05:00,0.0004668074834626168,0.000239157336181961,-0.06080302596092224,0.03,0.01,-3.48,0.00014807682600803673,7.31272593839094e-05,0.016945315524935722
2023-07-09 22:05:01,0.00047624565195292234,0.0002505072916392237,-0.061045385897159576,0.03,0.01,-3.5,0.00018948529032059014,0.00010179448872804642,0.01641610637307167
2023-07-09 22:05:01,0.00048813901958055794,0.0002602323947940022,-0.06119447946548462,0.03,0.01,-3.51,0.00013394077541306615,0.00011324237857479602,0.016019629314541817
2023-07-09 22:05:01,0.0004993650363758206,0.00027640911866910756,-0.061540380120277405,0.03,0.02,-3.53,0.00018787101726047695,0.00013062333164270967,0.015433574095368385
2023-07-09 22:05:01,0.0005145928589627147,0.0002859859087038785,-0.06177954748272896,0.03,0.02,-3.54,0.00022521702339872718,9.05987253645435e-05,0.015098728239536285
2023-07-09 22:05:02,0.0005240836180746555,0.0002949186018668115,-0.06217159703373909,0.03,0.02,-3.56,0.00022060208721086383,0.00018484123575035483,0.01466831099241972
2023-07-09 22:05:02,0.0005412308382801712,0.0003141007327940315,-0.062475964426994324,0.03,0.02,-3.58,0.0001267414481844753,0.00011305868974886835,0.01437732670456171
2023-07-09 22:05:02,0.0005573979578912258,0.00032385249505750835,-0.06289911270141602,0.03,0.02,-3.6,0.00020093019702471793,0.00018093838298227638,0.013905475847423077
2023-07-09 22:05:02,0.000572453485801816,0.00033340617665089667,-0.06324275583028793,0.03,0.02,-3.62,0.00016255828086286783,5.4389689466916025e-05,0.013700654730200768
2023-07-09 22:05:03,0.0005763660883530974,0.0003437768609728664,-0.0637023076415062,0.03,0.02,-3.65,0.0001594080385984853,8.31199431559071e-05,0.0131710609421134
2023-07-09 22:05:03,0.0005888859159313142,0.0003508027584757656,-0.06401832401752472,0.03,0.02,-3.67,0.0001597375376150012,0.00015532586257904768,0.01290939375758171
2023-07-09 22:05:03,0.0006017459090799093,0.0003635135944932699,-0.06450966745615005,0.03,0.02,-3.7,0.0001819826866267249,9.100431634578854e-05,0.012461226433515549
2023-07-09 22:05:03,0.0006181755452416837,0.0003743382403627038,-0.06487885117530823,0.04,0.02,-3.72,0.00022791117953602225,0.00011402551899664104,0.012240134179592133
2023-07-09 22:05:04,0.0006364525761455297,0.0003903918550349772,-0.06538265198469162,0.04,0.02,-3.75,0.00022059200273361057,0.00018883591110352427,0.011847998015582561
2023-07-09 22:05:04,0.000651883368846029,0.0004024297813884914,-0.06576933711767197,0.04,0.02,-3.77,0.00016414477431681007,0.00012879712448921055,0.011604663915932178
2023-07-09 22:05:04,0.0006553261773660779,0.0004161112301517278,-0.0662907287478447,0.04,0.02,-3.8,0.00018417430692352355,0.0001970881421584636,0.011296047829091549
2023-07-09 22:05:04,0.0006701264646835625,0.00043051628745160997,-0.06667591631412506,0.04,0.02,-3.82,0.0002676138246897608,0.00019024127686861902,0.011075889691710472
2023-07-09 22:05:05,0.0006856007967144251,0.00043908145744353533,-0.06707406044006348,0.04,0.03,-3.84,0.00016764836618676782,0.0001479964703321457,0.010806509293615818
2023-07-09 22:05:05,0.0007004387443885207,0.0004532992606982589,-0.06747013330459595,0.04,0.03,-3.87,0.00022692326456308365,0.00013364483311306685,0.01049970742315054
2023-07-09 22:05:05,0.00071200035745278,0.000467527424916625,-0.06796547025442123,0.04,0.03,-3.89,0.00015389839245472103,0.00013853707059752196,0.010269289836287498
2023-07-09 22:05:05,0.00072536087827757,0.00047889279085211456,-0.06841729581356049,0.04,0.03,-3.92,0.0002200872841058299,0.00011453252227511257,0.009998680092394352
2023-07-09 22:05:06,0.0007364726043306291,0.0004915866884402931,-0.06891525536775589,0.04,0.03,-3.95,0.00014827301492914557,7.50168546801433e-05,0.009697540663182735
2023-07-09 22:05:06,0.0007445287774316967,0.0005027839215472341,-0.06934987753629684,0.04,0.03,-3.97,0.00016256282106041908,0.0001608338498044759,0.009590660221874714
2023-07-09 22:05:06,0.0007514595636166632,0.0005165032926015556,-0.0698496550321579,0.04,0.03,-4.0,0.0002132458466803655,0.00015359747339971364,0.009249795228242874
2023-07-09 22:05:06,0.0007585738785564899,0.0005272289854474366,-0.07027845084667206,0.04,0.03,-4.03,0.00019081645586993545,0.00010864889190997928,0.009112533181905746
2023-07-09 22:05:07,0.000769367441534996,0.0005328505649231374,-0.07075567543506622,0.04,0.03,-4.05,0.0002922041167039424,0.00022854523558635265,0.008861830458045006
2023-07-09 22:05:07,0.0007833375711925328,0.0005399081273935735,-0.0711808130145073,0.04,0.03,-4.08,0.0002235846477560699,0.0001403797505190596,0.008730797097086906
2023-07-09 22:05:07,0.0007952132145874202,0.0005517679383046925,-0.0716451108455658,0.05,0.03,-4.1,0.0002936854725703597,0.00012882339069619775,0.008454143069684505
2023-07-09 22:05:07,0.0008097041863948107,0.0005629177903756499,-0.07207351177930832,0.05,0.03,-4.13,0.00024142004258465022,0.0001500968646723777,0.008334026671946049
2023-07-09 22:05:08,0.0008160817087627947,0.0005752804572694004,-0.07254046201705933,0.05,0.03,-4.16,0.0001948516583070159,0.0001808850356610492,0.008110418915748596
2023-07-09 22:05:08,0.0008325884700752795,0.0005888872547075152,-0.07295361161231995,0.05,0.03,-4.18,0.0002087507746182382,0.0001297682902077213,0.007980125024914742
2023-07-09 22:05:08,0.0008413773030042648,0.0006045530317351222,-0.07341938465833664,0.05,0.03,-4.21,0.0002548995544202626,0.00019363281899131835,0.007701019290834665
2023-07-09 22:05:08,0.0008565487223677337,0.0006168482941575348,-0.07382504642009735,0.05,0.04,-4.23,0.00023802625946700573,0.0002078147226711735,0.007606063969433308
2023-07-09 22:05:09,0.0008570205536670983,0.0006253092433325946,-0.0742809846997261,0.05,0.04,-4.26,0.000205092946998775,0.00017597488476894796,0.007472740486264229
2023-07-09 22:05:09,0.0008635150734335184,0.0006311071920208633,-0.07466951012611389,0.05,0.04,-4.28,0.0002193413965869695,0.00020039762603119016,0.007384369149804115
2023-07-09 22:05:09,0.0008672578260302544,0.0006407343316823244,-0.07509949058294296,0.05,0.04,-4.3,0.00024343337281607091,0.00010121705417986959,0.0071347421035170555
2023-07-09 22:05:09,0.0008754480513744056,0.0006555514992214739,-0.07548720389604568,0.05,0.04,-4.33,0.0002109250199282542,0.00021621402993332595,0.007068360690027475
2023-07-09 22:05:10,0.0008767915423959494,0.0006685188272967935,-0.07591315358877182,0.05,0.04,-4.35,0.0002313082222826779,0.0002012816839851439,0.006903412751853466
2023-07-09 22:05:10,0.000884291366674006,0.0006784021970815957,-0.07628852128982544,0.05,0.04,-4.37,0.00022152204473968595,0.00019577814964577556,0.006790397688746452
2023-07-09 22:05:10,0.0008927301387302577,0.000687973340973258,-0.07670705020427704,0.05,0.04,-4.39,0.00030658021569252014,0.0002556404797360301,0.006597172003239393
2023-07-09 22:05:10,0.0008963816799223423,0.0006988258101046085,-0.07707930356264114,0.05,0.04,-4.42,0.0002231013058917597,0.00021250230201985687,0.006548499222844839
2023-07-09 22:05:11,0.0009082737960852683,0.0007053186418488622,-0.07747822999954224,0.05,0.04,-4.44,0.000271094759227708,0.0001228340552188456,0.006360229104757309
2023-07-09 22:05:11,0.0009215970640070736,0.000717348069883883,-0.07784513384103775,0.05,0.04,-4.46,0.00018459568673279136,0.00019093573791906238,0.0063346573151648045
2023-07-09 22:05:11,0.0009235204197466373,0.0007222714484669268,-0.0782313421368599,0.05,0.04,-4.48,0.0002328684349777177,0.00017627407214604318,0.006123833823949099
